aircraft_id,age_y,total_parking_minutes,metar_temperature_c,metar_relative_humidity,metar_dew_point_c,metar_wind_speed_kn,metar_visibility_mi,metar_hour_precipitation,sea_salt_aerosol_003_05_mixing_ratio,sea_salt_aerosol_05_5_mixing_ratio,sea_salt_aerosol_5_20_mixing_ratio,dust_aerosol_003_055_mixing_ratio,dust_aerosol_055_09_mixing_ratio,dust_aerosol_09_20_mixing_ratio,hydrophilic_organic_matter_aerosol_mixing_ratio,hydrophobic_organic_matter_aerosol_mixing_ratio,hydrophilic_black_carbon_aerosol_mixing_ratio,hydrophobic_black_carbon_aerosol_mixing_ratio,sulphate_aerosol_mixing_ratio,ethane,c3h8,isoprene,carbon_monoxide_mass_mixing_ratio,ozone_mass_mixing_ratio,h2o2,formaldehyde,hno3,nitrogen_monoxide_mass_mixing_ratio,nitrogen_dioxide_mass_mixing_ratio,oh,organic_nitrates,specific_humidity,sulphur_dioxide_mass_mixing_ratio,temperature
047c3b,6.4166666666667425,34002.346534653465,27.6930724644468,79.58228010755299,23.520989025025273,6.088921069835745,5.625957417201638,0.0,1.5309878767757249e-10,1.23322892727231e-08,4.640670208012556e-09,1.7268212655609953e-09,3.227020694516916e-09,3.1634285741205565e-09,2.359830471020851e-08,1.5475435772937226e-08,4.296167865752944e-10,6.472588220087308e-10,6.552120747985303e-09,1.8963702277298257e-09,1.0843645604757887e-09,8.383828986084188e-09,3.241656632982686e-07,5.4128982334572755e-08,1.4599419123284864e-09,3.1043801475694477e-09,1.661513255731195e-09,2.3584162919648514e-09,9.036117295337577e-09,5.938193394493141e-14,1.5716298708809576e-09,0.017206670917281713,1.1817356174462291e-08,299.7235003123616
04ff3d,3.9166666666667425,39619.13549019608,24.533993455091053,70.37989759681828,18.47840457903,8.530752304643546,5.974011744931389,0.0,8.769551230921251e-11,7.196032601611907e-09,3.7940445516064055e-09,3.410003547207407e-10,5.993093797563412e-10,3.239128421200655e-10,5.365598968431908e-08,4.226139656087732e-08,1.7040143701997344e-09,4.016906983879662e-09,1.767692772637071e-08,3.880878305479903e-09,1.667407195406994e-09,2.460473373570556e-09,7.401610149307211e-07,4.252063423195576e-08,9.312766080376098e-10,3.50242068853187e-09,7.635059636179203e-09,3.074960095964826e-08,4.56096006460637e-08,4.5068890460471214e-14,3.0205043497264317e-09,0.014791457602955119,4.9397175587142886e-08,296.311875207682
050400,3.166666666666591,35906.207703081236,22.947183713029826,78.20352254942294,18.69804720883184,8.840474123653712,5.717826223936727,0.0,1.4662133005058523e-10,1.2196695848287208e-08,7.664488981614998e-09,4.47993343626216e-10,8.178682594616811e-10,5.887104668491232e-10,1.77530834553106e-08,1.2270163132870949e-08,6.129471902687414e-10,1.1330751691900501e-09,7.204901837215934e-09,1.784103531498217e-09,1.014135749064509e-09,2.8957742531815504e-09,2.849167427901557e-07,6.684708957798271e-08,9.163859028219915e-10,3.084793411684198e-09,4.1703120457381865e-09,5.6382670637445e-09,1.951404159244506e-08,5.451373978298306e-14,3.2142984496872603e-09,0.013715254817947801,1.664532411283944e-08,294.3408605303687
0526ac,5.166666666666591,29724.96130952381,27.96608659374433,41.346692960742345,10.78969344745491,6.309190306780233,5.8833056367784575,0.0,3.2369397050675315e-11,2.5485285887671285e-09,7.517272373897632e-10,9.869535676476278e-09,2.0746708854874934e-08,4.222630500958035e-08,8.092464381474633e-09,3.726984373508766e-09,2.202119875590777e-10,1.592509477098384e-10,7.509086797395732e-09,8.395268425655544e-10,3.6202170218717233e-09,7.230602818468142e-10,1.7398110053077122e-07,7.741889867320947e-08,1.350719502742179e-09,3.913935505860061e-09,5.559740664498068e-09,1.6050068617853725e-09,1.537321866921481e-08,8.749304765661842e-14,2.1572605271485295e-09,0.010224485264956082,2.3963099332784378e-08,300.243173387494
06f4d3,1.5,42392.96358024691,13.949862132198795,69.33743514928572,7.789654714393813,7.745526842935506,9.484218872815621,0.017160180852914268,1.0931505242880987e-11,8.8933682249182e-10,1.140601872258553e-10,1.68910545160137e-10,2.993368487186099e-10,1.7957300746945978e-10,7.0825900367841805e-09,3.092931475053802e-09,2.1833692738638473e-10,8.767699260799611e-11,2.0352420095892587e-09,5.892908283944371e-10,2.7411881431229013e-10,2.233264362815998e-09,1.686557192964619e-07,6.116836366561996e-08,6.281732662916482e-10,1.8447390726224955e-09,9.65930328258279e-10,4.821556806824729e-10,7.76449669511464e-09,3.739760221110048e-14,2.066996118661975e-09,0.0079435406429882,3.2414786769372755e-09,287.0085259496183
072ce8,5.6666666666667425,31505.474329501914,11.632794212833922,80.32025969153143,7.954029533051331,7.405951500099768,5.768566214011837,0.0,1.6699443987042183e-10,1.4173601640626877e-08,6.147592019463448e-09,1.8706952509639625e-10,3.5083802274661494e-10,3.6889858504691483e-10,4.488460506344548e-09,2.226249939714837e-09,1.582325211954129e-10,1.315387799203088e-10,9.87047458301935e-10,5.350343275173867e-10,5.72723047918514e-10,5.870122370519281e-10,1.3980917196260209e-07,4.691402991354986e-08,2.5926221919326957e-10,8.774306047080265e-10,7.519844798276813e-10,1.95924222104622e-09,1.1207083277723936e-08,2.2980889984486698e-14,8.334046287292756e-10,0.006985628977274101,1.6802441714739289e-09,284.80121421107253
075c19,5.7500000000000755,30750.198469387757,9.7577568702117,39.17354579969623,5.676189279619784,5.956496387165456,10.309222213375724,0.0056775253824374585,4.3610219224930257e-11,3.5505120689106353e-09,1.2099835063270303e-09,5.908137130740076e-10,1.033543137035828e-09,5.418876236270928e-10,6.110586254629908e-09,3.2675512673957455e-09,1.731096597380806e-10,1.4176946448360543e-10,1.6582385699020704e-09,5.601432494880954e-10,3.009621217348428e-10,7.435051639983723e-09,1.54789423058922e-07,5.307223841434904e-08,6.369585227060323e-10,2.1042939607586506e-09,8.979021343816638e-10,1.0331566428340756e-09,9.503563497629137e-09,3.488346770558525e-14,1.75436303050485e-09,0.00971122250330721,4.065421474849412e-09,290.24673430852073
0769f1,5.8333333333332575,29552.430952380953,12.031323770856925,79.48427220797346,8.109884527254017,7.551012780476312,5.795125151454309,0.0,1.6823445139896714e-10,1.4266289589863547e-08,6.095872996565922e-09,2.6663060222648517e-10,5.076015021865864e-10,5.694423414470692e-10,4.638362670139634e-09,2.289024585726568e-09,1.6087597246781147e-10,1.3152815283330728e-10,1.0527855162479341e-09,5.353150710603747e-10,5.796711899278699e-10,6.634404506675463e-10,1.407954531992109e-07,4.825220332438158e-08,2.862328301898371e-10,9.098398573224985e-10,8.055231435376737e-10,2.0922891155068362e-09,1.1201328291619794e-08,2.5026436920457242e-14,8.684441806579869e-10,0.007078592874212174,1.764536169866079e-09,285.2366096936059
077ee1,1.916666666666591,32985.79487179487,16.83889961635209,72.31878115289682,11.259780799843888,7.060532084285847,6.033293333188242,0.0,9.57673318040949e-11,8.055450862967789e-09,3.893116186159852e-09,7.459573747596802e-10,1.3886287268722427e-09,1.5682543330641552e-09,4.35347374467455e-09,2.165600812581912e-09,1.5240631374194862e-10,1.4909120059801138e-10,1.5394785396433367e-09,5.066651692208897e-10,2.9355026057681223e-10,2.488135857838109e-09,1.4145285924191945e-07,5.876663364283174e-08,5.375667597707162e-10,1.1297899465460605e-09,1.2615963267537457e-09,9.104872074487647e-10,7.246569825829858e-09,3.580695937064443e-14,1.1774780786946245e-09,0.008927886785923071,2.6101206349933413e-09,289.7208196420204
08647c,4.6666666666667425,30889.555065359476,27.60628602829741,80.07354275912805,23.63810738019757,5.49023149428199,4.462713937736087,0.0,7.539384532513411e-11,5.933710902925961e-09,1.0207116958967797e-09,3.000783203144841e-10,5.009214256236523e-10,1.7689202469716395e-10,2.563741572319182e-08,1.6514654908089952e-08,4.086332301019602e-10,4.675504954740348e-10,1.0453304730502322e-08,1.5274405877853656e-09,2.4199436382161957e-09,9.346428810756446e-09,3.2160326285241954e-07,6.667287459335208e-08,1.9850507980016277e-09,6.192047157116747e-09,2.770518332037546e-09,7.052902306079283e-10,1.2966564721207458e-08,5.243915044013193e-14,4.409653532984369e-09,0.017524640642915063,1.680654637519042e-08,299.87275895503336
0898e2,5.8333333333332575,26233.972294372295,27.721031314861246,60.62938748536847,18.245193396186046,6.125993207619333,5.7336852786373065,0.0,4.936320492365342e-11,3.933178762491536e-09,1.32470389746605e-09,6.1785863224816465e-09,1.145506064742866e-08,1.4292384782404196e-08,1.2444696016787275e-08,6.69394058061624e-09,2.800075073024165e-10,2.511563533874877e-10,4.793801478838778e-09,1.3038364565047598e-09,5.839929442870801e-09,1.7651305763936234e-09,2.3047309456299387e-07,8.353836173398627e-08,1.565195208757768e-09,6.487792502155548e-09,3.308677913843088e-09,6.840156712029029e-10,1.101384744123883e-08,7.421321633966627e-14,3.5277190965860168e-09,0.012704171421366404,8.660078439192778e-09,300.46465169056535
08ce08,1.9166666666665908,26812.45586080586,20.193851207087413,59.844253741967556,11.561618588764272,5.230329639491395,8.151964568768467,0.0003372838272716766,3.677444351642611e-11,2.966617987429647e-09,8.571142293485828e-10,6.759179143254748e-10,1.1922893722157444e-09,5.557386611775515e-10,1.598294200103075e-08,1.2087091068348938e-08,2.816306729989529e-10,4.986350888856276e-10,2.8479317597483794e-08,1.242347845890163e-09,1.7847875800323924e-09,2.118537923447052e-08,2.748802424588339e-07,4.450514071972054e-08,8.294597139794208e-10,3.834750660838483e-09,8.460414439380873e-10,6.9994746443236636e-09,1.3187455680433096e-08,3.8307352917016585e-14,2.282294253349449e-09,0.0105930744837042,1.3203683451794843e-07,293.0034725021201
0932c4,2.8333333333332575,29862.145588235293,23.278357389109196,81.9356069652257,19.786934255178043,9.679260181695097,5.701632387774263,0.0,1.5606462792001136e-10,1.3025484281070248e-08,8.942238988838784e-09,4.4586469362191837e-10,8.26862166898283e-10,6.238833245243865e-10,1.698694207487028e-08,1.1675581761021341e-08,5.492102409331942e-10,9.798895366123786e-10,7.220811162724582e-09,1.8497239444572762e-09,1.0553559679180718e-09,3.723883483345309e-09,2.7686511033415255e-07,6.878053972239087e-08,9.684270126577899e-10,3.7226715075132414e-09,4.486168656352616e-09,4.628093186979471e-09,2.2514822052004765e-08,5.469650707035231e-14,3.760167814754806e-09,0.014167651476968485,1.7591318953625827e-08,294.7249087261675
09958c,7.833333333333333,28074.420061728397,26.121700992980088,78.42348128495703,21.735397969774528,5.769125294164582,5.504962617613739,0.0,8.768899559475517e-11,7.061270137703042e-09,2.5791660260223293e-09,5.392635518783929e-10,9.252849821975295e-10,4.988705788390491e-10,3.029712072258754e-08,2.1831517489911202e-08,7.127553852737842e-10,1.2879795061473277e-09,4.794408462389248e-09,1.857579975797547e-09,1.1290149840944606e-09,1.3598715399291775e-08,4.2458773605234924e-07,4.875261910489825e-08,1.0663428773952983e-09,3.866660558795628e-09,1.4372280428806844e-09,4.203929361369915e-09,1.3036151135192408e-08,4.056398814044401e-14,2.4660391140597386e-09,0.016034929958736892,8.718185779596323e-09,297.84814038993545
09b5d6,8.916666666666742,19192.26,19.40005874600747,62.81574271260813,10.150613908125163,7.2546732675841,6.160832268250275,0.0,1.0168895743654002e-11,8.167540377227525e-10,7.566765886348336e-11,2.1753495321583414e-09,4.563972248824705e-09,7.86514337988238e-09,4.475015736701516e-09,1.3427522927102157e-09,1.7549598456441467e-10,5.309577603592855e-11,1.7706946636929314e-09,4.95938148636355e-10,2.7883774598543425e-10,3.4425992579848955e-09,1.2775750766275808e-07,6.067865588651235e-08,8.127994171806198e-10,1.3229174833396404e-09,4.1842623782785977e-10,3.6360631573828793e-10,3.072632221077528e-09,3.172961601613233e-14,1.175033843018515e-09,0.00799666177795298,2.474767788820968e-09,291.673167494161
09fe89,3.9166666666666665,32394.119834710742,20.83433198541888,75.58613648358657,15.705919961689524,5.668791914886839,5.817566640750893,5.921033984809587e-05,6.317566524025166e-11,5.146769168185674e-09,1.6620016097588942e-09,2.0572191359389348e-10,3.2357771145275143e-10,2.027376825253487e-10,2.055369508977113e-08,1.555958690580044e-08,4.760493855000974e-10,9.335392126260382e-10,2.720277857631326e-09,1.3866389064693183e-09,1.473149474451795e-09,1.2898128133942538e-08,2.9270242376730763e-07,3.7485782992875986e-08,6.894609247270907e-10,3.7116652161320452e-09,7.329940707724755e-10,5.699761862092394e-09,1.2289532281878603e-08,3.543200556684497e-14,2.0976448329145502e-09,0.011895945111342688,1.2711707046401607e-08,293.75283166797743
0ab5cf,2.9166666666667425,33016.11057692308,23.860354577333165,80.70600733285355,20.11514413615015,9.869338135120996,5.715227824418581,0.0,1.605409485631628e-10,1.3371299179514107e-08,8.987126708110422e-09,3.8851976362622046e-10,7.176813636568541e-10,5.187831691006445e-10,1.5762060318416597e-08,1.0982020836301308e-08,5.155482847517274e-10,9.48589295249427e-10,6.710622738736319e-09,1.7091804214403927e-09,9.957316290610886e-10,3.355668087454648e-09,2.5764890634064593e-07,6.872824984854433e-08,9.866804236358804e-10,3.6145342118012386e-09,4.281943011182427e-09,3.3412802423387486e-09,1.966609977952686e-08,5.934224800829675e-14,3.6027445562743284e-09,0.014499932379468521,1.6493587883102816e-08,295.19648158641706
0bdf39,5.833333333333409,30297.921014492753,28.358999461551758,76.23078266881004,23.547311809886473,5.194563392662797,5.987321535533386,0.0,1.2943256912310364e-10,1.0457981236205673e-08,3.923855870449372e-09,1.587057098995939e-10,2.6749392533312164e-10,1.0373974680273602e-10,1.4828137043827481e-08,1.1468352570728443e-08,2.4585042441369445e-10,4.827513303671562e-10,6.31071401430936e-09,1.1612562230622858e-09,6.434393865923601e-10,1.3185055747282646e-08,2.2185633577133914e-07,4.594191866087291e-08,1.0493526211867922e-09,3.342388098650962e-09,5.91142683743405e-10,1.94287112354917e-09,9.406438019340302e-09,3.748228153959329e-14,1.2123581566723078e-09,0.017308480107984567,1.9209001831220325e-08,299.60784233212246
0c708c,7.5833333333332575,22900.062037037038,26.277753430824134,72.06492085386076,20.546478834019457,7.240404219796961,5.959906319358742,0.0,1.2334088583593655e-10,1.005079271873606e-08,4.264680946227572e-09,1.8768701186421616e-10,3.3180425616861964e-10,1.7955307612506416e-10,1.6827475660776475e-08,1.2302625199517862e-08,3.41274441442858e-10,6.235239858776263e-10,6.2965578400620285e-09,1.3175658484311274e-09,7.443879317652287e-10,9.008381772150789e-09,2.664005832272561e-07,5.3295878504425124e-08,1.1194044283611105e-09,3.096857643307376e-09,1.221588984586673e-09,3.874053462323684e-09,1.1242417302105371e-08,4.2645399690586755e-14,1.6789081491363558e-09,0.01534296444023651,1.6678665110968244e-08,297.7360089240592
0c7134,5.5000000000000755,32010.958578431375,7.217244264583549,76.08439778027564,2.7333466564941302,7.1970962464439525,5.78719603692188,0.0,9.743156948866773e-11,8.281011259232928e-09,3.879461433342196e-09,1.0764375051866265e-10,1.9953863832565293e-10,1.7806679330150536e-10,3.4295811853811978e-09,1.7691165168437908e-09,1.2276023932655774e-10,9.337870625497519e-11,6.517794700055485e-10,8.079240847598318e-10,1.5119330334405029e-09,3.9724308860608505e-10,1.3903698341966218e-07,5.2159815259156396e-08,2.2100627011608666e-10,1.7838367482329295e-09,4.801026257230957e-10,3.5916439219840964e-10,6.9132046252522635e-09,2.1226062134586827e-14,1.7044521232052686e-09,0.005333527411378407,1.631525394485269e-09,279.6977141136526
0c8a7b,1.5833333333333335,21083.00950413223,10.542347672251942,40.19829879818732,7.597290593065766,7.967741063302063,8.953988948090936,0.006815256474258254,7.528234507406795e-11,6.166937599912084e-09,2.427944978587471e-09,6.315239613863788e-10,1.1060522747247346e-09,4.6500150976186153e-10,6.9810411907409196e-09,3.992380110311343e-09,2.054632607982018e-10,2.196475518482207e-10,1.8844202111267394e-09,6.564879257700693e-10,4.6040822747789714e-10,4.084710244946714e-09,1.560176150983922e-07,5.6125387809121224e-08,6.807991499766771e-10,1.8135661186912018e-09,1.1444932815096027e-09,1.1442535418595846e-09,1.0508480052690872e-08,3.8609350980474035e-14,1.6722558982231365e-09,0.010501748583241913,4.710969222677478e-09,290.599626359931
0e0f44,5.5833333333332575,33304.58441734417,16.86157046370398,64.17038997041443,9.162780080396514,7.204498501096276,6.068911053790653,0.0,4.426260333598879e-11,3.7051947272931187e-09,1.1719123608737194e-09,8.07272132666244e-10,1.4901575253587486e-09,1.6470963480771685e-09,5.403298825919993e-09,2.8457687259230783e-09,1.776976523739446e-10,2.0644037358505194e-10,2.3851867787112582e-09,6.340049619440346e-10,3.372017219959353e-10,2.532656425446238e-09,1.5792974216946848e-07,6.165414387050228e-08,5.51612908071897e-10,1.4717636159202661e-09,9.500784382575974e-10,8.420696273508508e-10,6.538374187269899e-09,3.204162876182298e-14,1.4389074018303052e-09,0.009330128967775962,3.244538134552232e-09,290.3229115588539
0e2ce0,5.833333333333409,28437.472300469486,8.534766625926855,33.630180766748545,5.886443862106919,6.533346121443108,9.317757995138427,0.0031907943626780155,9.470319202328406e-11,7.895763054295547e-09,3.6075492637255793e-09,4.0872196186435845e-11,7.330315799066243e-11,4.099898701009582e-11,6.901713720485938e-09,5.138454582769979e-09,2.2024824859320028e-10,4.546216437677275e-10,2.743156748460167e-09,8.941159056982143e-10,7.009712056493667e-10,4.2393433366202694e-09,1.8826426243091877e-07,4.615389730494655e-08,4.949902233057921e-10,1.901493622415004e-09,9.973986995215164e-10,4.841754804876764e-09,1.4221854686955145e-08,3.9118830798244195e-14,1.3096655289548693e-09,0.009507911017309419,9.275530203128303e-09,290.0704530141049
0e6737,6.083333333333409,26636.98399339934,5.284316399085458,24.879853991379925,2.993851650391238,6.852148997432326,9.371491827942268,0.005822216548133683,3.9728552061834315e-11,3.2639170177282808e-09,1.1160648647001102e-09,3.3938502174892006e-10,5.967487405076517e-10,3.348472230362329e-10,6.954596935728048e-09,3.859476972409912e-09,2.1032638251783632e-10,2.1427324740205478e-10,1.9343454569037353e-09,6.497122635507394e-10,4.0799170282867276e-10,7.4337806121905785e-09,1.6787308096662096e-07,5.5128603304709845e-08,6.126222878304079e-10,2.3291848940761815e-09,1.033805010197998e-09,1.5151219863395713e-09,1.1174072904021024e-08,3.0620728690173505e-14,2.1036692572007034e-09,0.008710441730774038,5.567074460254619e-09,288.5462632544756
0e69c3,3.416666666666591,27265.46282051282,28.75550539478814,52.6995036211057,16.48847646651332,7.57575823536214,5.736841292021053,0.0,4.418970269156206e-11,3.4923859473315515e-09,9.81612442782375e-10,6.0963169623116096e-09,1.1969015777075468e-08,1.8568746538684282e-08,1.3214383351722981e-08,6.8620521725517896e-09,3.8797159926018015e-10,3.885968178910661e-10,6.024577236862418e-09,2.401811368062318e-09,8.898538463809799e-09,8.296239787742199e-10,2.3902743590807374e-07,1.0502604543758697e-07,2.1155469664334683e-09,7.005506794987376e-09,1.150124746732271e-08,1.0896157531158168e-09,2.0629369953689153e-08,9.051346096310686e-14,5.675519872441022e-09,0.013591463974264362,9.486703310588142e-09,301.02414190305103
0f3d54,5.916666666666591,30172.797849462368,7.925509809091957,78.36554425491545,3.826469153122889,7.756428407550477,5.7686705236503055,0.0,7.313609472204429e-11,6.190901978584188e-09,2.347453197984359e-09,1.622055116139847e-10,3.0169114461793805e-10,2.9342233889595484e-10,4.388647104253629e-09,2.2941906901186718e-09,1.4660157925503085e-10,1.232991858443303e-10,8.540503218233127e-10,5.14267510996331e-10,3.093676268615051e-10,7.030060685942629e-10,1.4462551532104492e-07,4.353072892948931e-08,2.1127176484077175e-10,7.056697532345261e-10,7.166200745491562e-10,3.7481242076668564e-09,1.4237685147251402e-08,1.6154141614096892e-14,1.0793377042551525e-09,0.00580103764835688,1.5214580806801432e-09,281.2312072779168
